categorie,type,difficulte,question,reponse_correcte,reponses_incorrectes,toutes_reponses
Science & Nature,multiple,hard,What nucleotide pairs with guanine?,Cytosine,Thymine|Adenine|Uracil,Cytosine|Thymine|Adenine|Uracil
Entertainment: Television,multiple,medium,"In the episode of SpongeBob SquarePants, ""Survival of the Idiots"", Spongebob called Patrick which nickname?",Pinhead,Starfish|Larry|Dirty Dan,Pinhead|Starfish|Larry|Dirty Dan
Geography,multiple,medium,Lake Titicaca is located between which two nations?,Peru and Bolivia,Kenya and Uganda|Mexico and the United States|India and Bangladesh,Peru and Bolivia|Kenya and Uganda|Mexico and the United States|India and Bangladesh
Entertainment: Board Games,multiple,medium,"What type is ""Magic Drain"" in Yugioh! Trading Card Game?",Counter Trap,Normal Trap|Quick-Play Spell|Field Spell,Counter Trap|Normal Trap|Quick-Play Spell|Field Spell
Vehicles,multiple,hard,Which of these is NOT a car model produced by Malaysian car manufacturer Proton?,Kelisa,Saga|Perdana|Inspira,Kelisa|Saga|Perdana|Inspira
Entertainment: Japanese Anime & Manga,multiple,hard,"In ""One Piece"", who confirms the existence of the legendary treasure, One Piece?","Edward ""Whitebeard"" Newgate",Former Marine Fleet Admiral Sengoku|Pirate King Gol D Roger|Silvers Rayleigh,"Edward ""Whitebeard"" Newgate|Former Marine Fleet Admiral Sengoku|Pirate King Gol D Roger|Silvers Rayleigh"
Entertainment: Music,multiple,medium,"What is the name of the main character from the music video of ""Shelter"" by Porter Robinson and A-1 Studios?",Rin,Rem|Ren|Ram,Rin|Rem|Ren|Ram
General Knowledge,multiple,medium,"The phrase ""accident waiting to happen"" is an example of what type of figure of speech?",Idiom,Simile|Metaphor|Analogy,Idiom|Simile|Metaphor|Analogy
Entertainment: Television,multiple,easy,"In AMC's TV Series ""The Walking Dead"" what are ""Zombies"" referred to as?",Walkers,Creepers|Maggots|Hell Pigs,Walkers|Creepers|Maggots|Hell Pigs
Entertainment: Video Games,multiple,hard,"According to the lore of ""Starbound"", what does the ""Colony Deed"" do when it is placed down?",Sends out an advertisement for someone to move in.,Teleports somebody from somewhere on the planet it is placed.|Teleports a random person to the location.|Materializes a new being at it's location.,Sends out an advertisement for someone to move in.|Teleports somebody from somewhere on the planet it is placed.|Teleports a random person to the location.|Materializes a new being at it's location.
Entertainment: Music,multiple,easy,"The ""British Invasion"" was a cultural phenomenon in music where British boy bands became popular in the USA in what decade?",60's,50's|40's|30's,60's|50's|40's|30's
